sector,project_name,original_cost_cr,revised_cost_cr,anticipated_cost_cr,expenditure_cum_cr,cost_overrun_pct,overrun_flag,overrun_ratio
RAILWAYS,KHARAGPUR-ADITYAPUR - 3RD LINE (132 KM) - [N22000595,1116.0,,3270.07,2875.04,193.02,1,1.9301702508960574
RAILWAYS,JANGHAI-PHAPHAMAU - DOUBLING WITH ELECTRIFICATION (46.79 KM) - [N22000596,357.48,,409.38,312.07,14.52,1,0.14518294729775086
RAILWAYS,BHATNI - AUNRIHAR WITH ELECTRIFICATION (125 KM) (EXCL INDARA - MAU (116.95 KM)) - [N22000598,1177.96,,2529.46,1574.9,114.73,1,1.1473224897280043
RAILWAYS,INDORE BUDNI (INDORE JABALPUR) - [N22000601,4340.0,,7393.75,1004.86,70.36,1,0.7036290322580645
RAILWAYS,DALLIRAJHARA - ROWGHAT (95 KM) {PART OF DALLIRAJHARA-JAGDALPUR (235 KM)} - [N22000602,631.78,,1627.56,1323.64,157.62,1,1.576149925607015
RAILWAYS,KOTLPALLI-NARASAPUR (NL) (SCR) - [220100265,1045.2,,2500.98,1141.44,139.28,1,1.3928243398392652
RAILWAYS,MANOHARABAD-KOTHPALL NEW LINE(SCR) - [N22000032,1160.48,,3014.0,1190.58,159.72,1,1.5972011581414587
RAILWAYS,KAZIPET-VIJAYAWADA 3RD LINE WITH ELECTRIFICATION - [N22000261,1856.95,,1952.68,1144.19,5.16,1,0.051552276582568196
RAILWAYS,NADIKUDE-SRI KALAHASTI - [N22000286,2288.7,,3122.35,1579.6,36.42,1,0.3642460785598812
RAILWAYS,GUNTUR-GUNTAKAL - [N22000368,3631.0,,3887.48,2926.55,7.06,1,0.07063618837785735
RAILWAYS,KAZIPET-BALHRSHA - [N22000367,2063.03,,2909.0,2461.7,41.01,1,0.4100618992452847
RAILWAYS,MANMAD-PARBHANI-NANDED-SECUNDERABAD- GADWAL-DHONE- GUNTAKAL - TRAIN COLLISION AVOIDANCE SYSTEM (958 K - [N22000432,119.73,185.0,242.28,54.15,102.36,1,1.0235529942370332
RAILWAYS,RAJNANDGAON - NAGPUR - 3RD LINE (SECR) - [N22000420,1908.51,,3544.25,2596.2,85.71,1,0.8570769867593044
RAILWAYS,WADSA-GADHCHIROLI NEW LINE (52.36 KM) - [N22000480,229.0,,1886.05,405.86,723.6,1,7.236026200873362
RAILWAYS,JHARSUGUDA-BILASPUR 4TH LINE - [N22000484,1973.0,,2135.34,1875.15,8.23,1,0.08228079067410043
RAILWAYS,ANUPPUR-KATNI - [N22000485,1370.0,,2311.02,1459.96,68.69,1,0.6868759124087591
RAILWAYS,4TH LINE - BHILAI-BHILAI NAGAR (8.8 KM) (PB#72/NR/2022-23) - [N22000575,169.06,,177.34,0.02,4.9,1,0.04897669466461612
RAILWAYS,BONDAMUNDA RANCHI DOUBLING - [N22000396,1724.2,,3029.04,2022.68,75.68,1,0.7567799559215868
RAILWAYS,LODHMA TO PISKA LINK LINE BY PASSING HATIA/RANCHI WITH Y CONNECTION (17.2 KM) - [N22000508,428.65,,472.5,265.82,10.23,1,0.10229791204945765
RAILWAYS,PURULIA TO KOTSHILA DOUBLING (39.1 KM) - [N22000510,338.0,,393.83,139.09,16.52,1,0.16517751479289935
RAILWAYS,2,4.0,,5.0,6.0,9.0,1,0.25
RAILWAYS,ROURKELA-BONDAMUNDA A-CABIN 5TH LINE (10 KM) (UMBRELLA WORK PB#57/2019-20/NR) - [N22000571,209.75,,244.99,18.18,16.8,1,0.1680095351609059
RAILWAYS,BAGALKOT-KUDACHI NL - [N22000258,986.3,,1649.31,502.0,67.22,1,0.672219405860286
RAILWAYS,RAYADURGA-TUMKUR NL - [N22000279,2062.3,,2495.59,1359.89,21.01,1,0.21010037336953882
RAILWAYS,MARIKUPPAM - KUPPAM - [N22000308,279.54,,296.72,89.12,6.15,1,0.06145810975173501
RAILWAYS,HOTGI-KUDGI-GADAG - [N22000333,1614.59,,2458.87,2243.71,52.29,1,0.522906744126992
RAILWAYS,KADUR CHIKMAGALUR SAKLESHPUR NEW LINE (93 KM) - [N22000486,644.78,,825.31,564.07,28.0,1,0.27998697230062963
RAILWAYS,"PENUKONDA-DHARMAVARAM, EXCL. DHARMAVARAM (41.5 KM) - [N22000555",294.67,,307.66,97.36,4.41,1,0.04408321172837414
RAILWAYS,MALUGUR-PALASAMUDRAM (17.98 KM) (PB#29/NR/2022- 23) - [N22000556,323.14,,342.41,39.46,5.96,1,0.05963359534567073
RAILWAYS,HASSAN (ALUR) - BELUR (32 KM) (UMBRELLA WORK PB#23/2018-19/NR) - [N22000558,663.03,,748.85,0.34,12.94,1,0.12943607378248354
RAILWAYS,WHITEFIELD-KOLAR (52.9 KM) - [N22000560,162.13,,348.85,0.36,115.17,1,1.1516684142354903
RAILWAYS,MAYLADUTHURAI-THIRUVARUR-KARAIKUDI-THIRU 'PONDI'-AGASTIYAMPALLI - [N22000079,724.69,,3118.34,1917.34,330.3,1,3.3029985235066026
RAILWAYS,TIDIVANAM-NAGARI (NL) - [N22000085,582.83,,3631.34,763.7,523.05,1,5.230530343324812
RAILWAYS,MADURAI-TUTICORIN VIA ARUPPUKKOTTAI - [N22000215,120.7,,2053.39,334.97,1601.23,1,16.012344656172328
RAILWAYS,TRIVANDRUM-KANYAKUMARI DOUBLING - [N22000399,1431.9,,3785.45,3027.76,164.37,1,1.6436552831901665
RAILWAYS,TURAVUR-AMBALAPUZHA DOUBLING - [N22000400,1000.0,,1416.49,1.63,41.65,1,0.41649
RAILWAYS,Chinnasalem-Kallakurichi New Line (MM of cuddalore- Salem 191 KM) - [N22000567,417.5,,419.44,191.46,0.46,1,0.0046467065868263414
RAILWAYS,KARAIKAL - PERALAM NEW LINE (MM OF TIRUCHCHIRAPPALLI-NAGORE-KARAIKAL) - [N22000625,304.22,,373.42,225.18,22.75,1,0.22746696469660108
RAILWAYS,NAGAPATTINAM- THIRUTURAIPUNDI VIA THIRUKUVALAI NEW LINE (MM OF TIRUCHCHIRAPPALLI-NAGORE- KARAIKAL) - [N22000626,677.12,,788.05,165.0,16.38,1,0.16382620510396967
RAILWAYS,"RAMGANJMUNDI-BHOPAL (NL),WCR - [220100314",424.6,,5125.16,2596.43,1107.06,1,11.070560527555344
RAILWAYS,"LALITPUR-SATNA-REWA-SINGRULI NL, (NCR) - [220100232",247.66,,8248.5,2500.34,3230.57,1,32.30574174271178
RAILWAYS,2,4.0,,5.0,6.0,9.0,1,0.25
RAILWAYS,KATNI - SINGRAULI DOUBLING PROJECT - [N22000351,1763.93,,2445.3,2830.45,38.63,1,0.38627950088722346
RAILWAYS,KATNI-BINA 3RD LINE (263 KM) - [N22000415,2478.23,,2938.0,1279.35,18.55,1,0.18552353897741533
RAILWAYS,KATNI GRADE SEPARATOR/BYE PASS - [N22000416,582.13,,1247.64,1080.04,114.32,1,1.1432326112723963
RAILWAYS,RATLAM-MHOW-KHANDWA-AKOLA (GC) - [N22000120,3503.69,,6203.51,3510.08,77.06,1,0.7705647474519721
RAILWAYS,BHUJ-NALIYA(GC) WITH EXTENSION FROM NALIYA TO VAYOR (WR) - [N22000123,318.24,,1531.55,748.79,381.26,1,3.8125628456510805
RAILWAYS,CHOTTAUDEPUR-DHAR(NL) - [N22000138,1347.26,,1793.63,1395.03,33.13,1,0.33131689503139716
RAILWAYS,"DAHOD-INDORE VIA SARDARPUR, JHABUA AND DHAR (NL) - [N22000139",1640.04,,2873.11,1726.34,75.19,1,0.7518536133265044
RAILWAYS,MUMBAI CENTRAL VIRAR VADODARA AHMEDABAAD TRAIN PROTECTION SYSTEM 500 RKM - [N22000434,265.88,,311.36,,17.11,1,0.1710546111027532
RAILWAYS,ANAND GODHRA DOUBLING PROJECT 79 KMS - [N22000504,692.25,,692.26,384.31,0.0,1,1.4445648248452011e-05
RAILWAYS,MEHSANA-PALANPUR (65.1 KM) - [N22000534,529.3,,537.31,81.44,1.51,1,0.015133194785565825
RAILWAYS,RAJKOT-KANALUS (111.20 KM) - [N22000535,1011.72,,1080.57,369.55,6.81,1,0.06805242557229264
RAILWAYS,NIMACH-RATLAM (133 KM) - [N22000536,910.0,,1095.88,578.94,20.43,1,0.2042637362637364
RAILWAYS,HIMMATNAGAR-KHEDBRAHMA (54.83 KM) - [N22000537,354.99,,482.43,126.96,35.9,1,0.3589960280571284
RAILWAYS,PETLAD-BHADRAN (22.5 KM) - [N22000538,202.5,,307.12,31.3,51.66,1,0.516641975308642
RAILWAYS,NADIAD-PETLAD (37.26 KM) - [N22000539,335.34,,461.91,31.79,37.74,1,0.3774378242977279
RAILWAYS,SAMNI-JAMBUSAR (24.08 KM) - [N22000541,216.72,,349.93,47.99,61.47,1,0.6146640826873385
RAILWAYS,VIJAPUR-AMBLIYASAN (41.53 KM) - [N22000547,309.81,,415.38,121.72,34.08,1,0.34075723830734966
RAILWAYS,KALOL-KADI-KATOSAN ROAD (37.23 KM) - [N22000549,279.23,,346.94,135.0,24.25,1,0.24248827131755174
RENEWABLE ENERGY,CONSTRUCTION OF ATAL AKSHAY URJA BHAWAN CGO COMPLEX LODHI ROAD NEW DELHI - [N28000118,271.9,,366.12,329.49,34.65,1,0.34652445752114763
RENEWABLE ENERGY,2,4.0,,5.0,6.0,9.0,1,0.25
ROAD TRANSPORT AND HIGHWAYS,REHABILITATION AND UPGRADATION OF EXISTING NH- 565 FROM KM.86.057 TO 133.922 OF NAGARJUNASAGAR DAM T - [N24000282,195.45,,385.97,294.95,97.48,1,0.9747761575850604
ROAD TRANSPORT AND HIGHWAYS,CONSTRUCTION OF RING ROAD FOR RAEBARELI CITY (PHASE -I) ON EASTERN SIDE OF NH 24B - [N24000331,282.41,,319.96,269.08,13.3,1,0.13296271378492247
ROAD TRANSPORT AND HIGHWAYS,REHABILITATION AND UPGRADING TO 2 LANES/2 LANE WITH PAVED SHOULDERS CONFIGURATION OF BIRPUR - BIHPUR - [N24000382,675.0,,780.77,616.26,15.67,1,0.15669629629629628
ROAD TRANSPORT AND HIGHWAYS,REHABILITATION AND UPGRADING TO 2 LANES/2 LANE WITH PAVED SHOULDERS (KM 40 TO KM 219.945) OF NH- 104 - [N24000531,319.68,,503.28,430.14,57.43,1,0.5743243243243242
ROAD TRANSPORT AND HIGHWAYS,CONSTRUCTION OF REHABILITATION AND UPGRADING TO 2 LANES/2 LANE(FOR LOT-I-KM 40.00 TO KM 65.400 AND K - [N24000576,178.85,,278.54,232.61,55.74,1,0.5573944646351693
ROAD TRANSPORT AND HIGHWAYS,"PROCUREMENT, AND CONSTRUCTION OF REHABILITATION AND UPGRADING TO 2 LANES/2 LANE(FOR LOT-III-KM 156.5 - [N24000578",553.3,,706.39,604.73,27.67,1,0.2766853424905116
ROAD TRANSPORT AND HIGHWAYS,FOUR LANING OF GAYA-HISUA-RAJGIRI-NALANDA- BIHARSHARIF SECTION (KM0.00 TO 92.935) ON NH-82 IN BIHAR - [N24000579,1408.85,,2138.16,1687.62,51.77,1,0.5176633424424175
ROAD TRANSPORT AND HIGHWAYS,REHABILITATION AND UPGRADATION OF 2 LANE WITH PAVED SHOULDER FROM EXISTING KM. 195.175 TO KM. 220.00 - [N24000782,460.73,,461.0,,0.06,1,0.0005860265231263035
ROAD TRANSPORT AND HIGHWAYS,Rehabilitation and up gradation to 2 lane with paved shoulder configuration from existing km. 122.00 - [N24000820,237.8,,238.0,222.13,0.08,1,0.0008410428931875047
ROAD TRANSPORT AND HIGHWAYS,CONSTRUCTION OF NEW ROAD AT THE MISSING LINK PORTION OF NH-81 ALONG THE APPROVED ALIGNMENT BETWEEN H - [N24000874,271.17,291.2,291.2,175.0,7.39,1,0.07386510307187363
ROAD TRANSPORT AND HIGHWAYS,CONSTRUCTION OF ROB AND ITS APPROACHES IN LIEU OF UNMANNED LEVEL CROSSING AT KM 303.9 ON NH-60 (PAND - [N24000885,160.27,,213.97,144.31,33.51,1,0.3350595869470268
ROAD TRANSPORT AND HIGHWAYS,CONSTRUCTION OF TWINS 2-LANE ROB AND ITS APPROACHES IN REPLACEMENT OF EXISTING LEVEL CROSSING GATE N - [N24000887,236.78,,263.26,211.51,11.18,1,0.11183376974406618
ROAD TRANSPORT AND HIGHWAYS,WIDENING AND PAVED SHOULDER OF TOHANA (IN HARYANA) PUNJAB/HARYANA BORDER TO MOONAK- JAKHAL-BUDHLADA - [N24000907,293.1,,315.0,306.6,7.47,1,0.07471852610030698
ROAD TRANSPORT AND HIGHWAYS,CONSTRUCTION OF TIMMAPURAM TO GURJANAPALLE SECTION FROM KM 26.150 TO 41.161 OF NH- 214(NH216)(KAKINAD - [N24000964,350.61,,411.18,407.92,17.28,1,0.17275605373491912
ROAD TRANSPORT AND HIGHWAYS,2,4.0,,5.0,6.0,9.0,1,0.25
ROAD TRANSPORT AND HIGHWAYS,REHABILITATION AND UPGRADATION OF LOSARI- MACHAVARAM SECTION FROM KM34/230 TO KM84/550 OF NH214(NH216 - [N24000967,444.84,,459.37,423.36,3.27,1,0.03266342954770261
ROAD TRANSPORT AND HIGHWAYS,REHABILITATION UPGRADATION OF NH214(NH216) FROM KM41.161 TO KM59.800(GURJANAPALLI TO POLEKURU SECT - [N24000966,348.95,,355.69,317.36,1.93,1,0.019315088121507406
ROAD TRANSPORT AND HIGHWAYS,REHABILITATION AND UPGRADATION OF MACHILIPATNAM TO AVANIGADDA SECTION FROM KM84/550 - 124/200 OF NH2 - [N24000968,376.25,,414.44,405.97,10.15,1,0.1015016611295681
ROAD TRANSPORT AND HIGHWAYS,REHABILITAITON AND UPGRADATION OF REPALLE TO EEPPURPALEM SECTION FROM KM 128/927 TO KM 195/000 OF NH - [N24000970,576.48,,686.13,685.2,19.02,1,0.19020607826810987
ROAD TRANSPORT AND HIGHWAYS,WIDENING AND STRENGTHENING/ RECONSTRUCTION OF EXISTING PAVEMENT TO FOUR ALNE WITH PAVED SHOULDERS FR - [N24000998,193.19,,249.72,222.58,29.26,1,0.292613489311041
ROAD TRANSPORT AND HIGHWAYS,WIDENING TO TWO LANE WITH PAVED SHOULDER FROM KM 544.200 TO KM 594.000 OF NH-150A HOSMANE CROSS – PA - [N24001156,166.67,,264.34,192.08,58.6,1,0.5860082798344033
ROAD TRANSPORT AND HIGHWAYS,IMPROVEMENTS AND RECONSTRUCTION TO TWO LANE WITH PAVED SHOULDERS FROM KM 243.20 TO KM 290.20 OF NH - [N24001157,175.5,,241.6,178.73,37.66,1,0.3766381766381766
ROAD TRANSPORT AND HIGHWAYS,RECONSTRUCTION TO TWO LANE WITH PAVED SHOULDERS FROM DS. CH. 442+180 (EX. KM 448.00) TO DS. CH.485+2 - [N24001158,159.97,,242.61,113.15,51.66,1,0.5165968619116085
ROAD TRANSPORT AND HIGHWAYS,WIDENING TO TWO LANE WITH PAVED SHOULDERS FROM 24.600 TO 70.063 OF MUDIGERE TO KADUR SECTION OF NH- - [N24001161,297.3,,318.28,277.27,7.06,1,0.0705684493777328
ROAD TRANSPORT AND HIGHWAYS,IMPROVEMENT AND RECONSTRUCTION TO TWO LANE WITH PAVED SHOULDERS FROM KM 489.845 (NEW KM.58.125) AN - [N24001162,325.86,,386.41,356.76,18.58,1,0.18581599459890755
ROAD TRANSPORT AND HIGHWAYS,CONSTRUCTION OF MAJOR BRIDGE AT KM 180.865 ACROSS RIVER KRISHNA ON NH-167 HAGARI – JADERCELA SECTION - [N24001173,157.32,188.0,187.61,43.16,19.25,1,0.1925375031782356
ROAD TRANSPORT AND HIGHWAYS,REHABILITATION AND UPGRADATION OF NH 43 KANKER TO BEDMA SECTION KM. 130 TO 180 - [N24001217,497.14,,572.66,351.76,15.19,1,0.15190891901677592
ROAD TRANSPORT AND HIGHWAYS,REHABILITATION AND UPGRADATION OF NH 200 FROM KM 178.944 TO 241.553 BANARI VILLAGE TO MASANIA KALA V - [N24001219,476.2,544.0,543.73,501.42,14.18,1,0.14181016379672412
ROAD TRANSPORT AND HIGHWAYS,REHABILITATION AND UPGRADATION OF NH 78 FROM KM 373.505 TO 469.300 AMBIKAPUR TO PATHALGAON SECTION - [N24001221,624.98,,731.5,601.11,17.04,1,0.17043745399852792
ROAD TRANSPORT AND HIGHWAYS,WIDENING TO 2 LANES WITH PAVED SHOULDERS FROM KM.87/000 TO 133/720 (NATTUKAL TO THANAU JN. IN PALAKK - [N24001369,294.28,,296.53,285.3,0.76,1,0.007645779529699606
ROAD TRANSPORT AND HIGHWAYS,WIDENING EXISTING 2 LANE TO 4 LANE WITH PAVED SHOULDER INCLUDING STRENGTHENING CARRIAGEWAY FROM KM 8 - [N24001380,302.62,,345.62,324.68,14.21,1,0.14209239310025776
ROAD TRANSPORT AND HIGHWAYS,WIDENING AND STRENGTHENING OF SECTION FROM BHARTHANA CHOWK TO KODARKOOT (KM. 0.00 TO KM. 40.00) OF - [N24001587,262.37,,343.77,193.78,31.02,1,0.31024888516217547
ROAD TRANSPORT AND HIGHWAYS,2,4.0,,5.0,6.0,9.0,1,0.25
ROAD TRANSPORT AND HIGHWAYS,CONSTRUCTION OF BYPASS TO GUDIYATHAM TOWN IN KM 23/100 – 29/250 INCLUDING LA AND SHIFTING OF NH- 234 - [N24001828,221.03,,243.95,114.24,10.37,1,0.10369633081482146
ROAD TRANSPORT AND HIGHWAYS,UPGRADATION OF DHORAJI JAMKANDORNA KALAVAD SECTION OF NH 927D FROM DESIGN CHAINAGE KM 00 TO KM 58.11 - [N24002117,246.6,,291.0,29.33,18.0,1,0.18004866180048665
ROAD TRANSPORT AND HIGHWAYS,UPGRADATION TO TWO LANE WITH PAVED SHULDER CONFIGUARATION FROM KM 00 TO 47 OF NH 351 MAHUVA TO BADHA - [N24002118,173.06,,219.0,0.15,26.55,1,0.26545706691320925
ROAD TRANSPORT AND HIGHWAYS,FOUR LANING OF NUMALIGARH TO JORHAT SECTION FROM KM. 402.500 TO KM. 453.000 (DESIGN KM 403.200 TO KM - [N24000305,454.89,,814.56,569.94,79.07,1,0.7906746686012002
ROAD TRANSPORT AND HIGHWAYS,4 LANING OF NH 37 SECTION BETWEEN END OF MORAN BYPASS TO BOGIBEEL JUNCTION NEAR LAPETKETA (KM. 561 - [N24000583,252.0,,330.3,146.28,31.07,1,0.3107142857142858
ROAD TRANSPORT AND HIGHWAYS,FOUR LANING OF DIMAPUR KOHIMA ROAD FROM DESIGN KM 123.840 TO KM 138.775 (EXISTING KM 124.100 TO KM 1 - [N24000686,373.07,,387.0,382.5,3.73,1,0.03733883721553598
ROAD TRANSPORT AND HIGHWAYS,(I) CONSTRUCTION OF FOUR/SIX LANING FROM KM 132.375 TO KM 158.058 (TOTAL NEW ALIGNMENT LENGTH OF 20. - [N24000752,387.0,,391.02,386.81,1.04,1,0.01038759689922476
ROAD TRANSPORT AND HIGHWAYS,(II) CONSTRUCTION OF DIMAPUR BYPASS (ASSAM PORTION) OF 4/6 LANE PAVEMENT ON EPC BASIS FROM EXISTING - [N24000753,500.09,,698.81,365.22,39.74,1,0.3973684736747385
ROAD TRANSPORT AND HIGHWAYS,WIDENING AND UP-GRADATION TO 2-LANE WITH PAVED SHOULDER CONFIGURATION AND GEOMETRIC IMPROVEMENTS FRO - [N24000857,519.09,,785.65,640.68,51.35,1,0.513514034175191
ROAD TRANSPORT AND HIGHWAYS,WIDENING AND UP-GRADATION TO 2-LANE WITH PAVED SHOULDER CONFIGURATION AND GEOMETRIC IMPROVEMENTS FRO - [N24000858,640.07,,1286.35,1140.04,100.97,1,1.0097020638367675
ROAD TRANSPORT AND HIGHWAYS,WIDENING AND UP-GRADATION TO 2-LANE WITH PAVED SHOULDER CONFIGURATION AND GEOMETRIC IMPROVEMENTS FRO - [N24000859,642.96,,988.23,697.56,53.7,1,0.5370007465472191
ROAD TRANSPORT AND HIGHWAYS,WIDENING AND UP-GRADATION TO 2-LANE WITH PAVED SHOULDER CONFIGURATION AND GEOMETRIC IMPROVEMENTS FRO - [N24000861,473.18,,688.25,508.51,45.45,1,0.45452047846485477
ROAD TRANSPORT AND HIGHWAYS,WIDENING AND UP-GRADATION TO 2-LANE WITH PAVED SHOULDER CONFIGURATION AND GEOMETRIC IMPROVEMENTS FRO - [N24000862,537.82,,789.05,729.36,46.71,1,0.4671265479156593
ROAD TRANSPORT AND HIGHWAYS,WIDENING AND UP-GRADATION TO 2-LANE WITH PAVED SHOULDER CONFIGURATION AND GEOMETRIC IMPROVEMENTS FRO - [N24000863,518.53,,906.76,762.6,74.87,1,0.748712707075772
ROAD TRANSPORT AND HIGHWAYS,WIDENING AND UP-GRADATION TO 2-LANE WITH PAVED SHOULDER CONFIGURATION AND GEOMETRIC IMPROVEMENTS FRO - [N24000864,404.29,,750.32,567.59,85.59,1,0.8558955205421851
ROAD TRANSPORT AND HIGHWAYS,WIDENING AND UP-GRADATION TO 2-LANE WITH PAVED SHOULDER CONFIGURATION AND GEOMETRIC IMPROVEMENTS FRO - [N24000865,428.11,,746.39,565.65,74.35,1,0.7434537852421106
ROAD TRANSPORT AND HIGHWAYS,2,4.0,,5.0,6.0,9.0,1,0.25
ROAD TRANSPORT AND HIGHWAYS,FOUR LANING OF BALACHERA-HARANGAJAO SECTION OF NH-54 (EXT) FROM KM 275.00 TO KM 244.000 IN THE STATE - [N24000902,818.0,,887.68,871.51,8.52,1,0.08518337408312952
ROAD TRANSPORT AND HIGHWAYS,CONSTUCTION/UPGRADATION OF EXISTING HIGHWAY TO 2 LANE WITH PAVED SHOULDER FROM KM 26.10 TO KM 40.00 - [N24001254,242.97,,244.45,246.91,0.61,1,0.006091286990163353
ROAD TRANSPORT AND HIGHWAYS,CONSTRUCTION AND UPGRADATION OFEXISTINGROAD TO 2-LANE WITH PAVED SHOULDER INCLUDING GEOMETRIC IMPROV - [N24001262,345.38,,395.59,352.31,14.54,1,0.14537610747582366
ROAD TRANSPORT AND HIGHWAYS,REHABILITATION AND UPGRADATION OF ROAD FROM KM 0.00 TO KM 18.600 OF KUMARGHAT-KAILASHAHAR SECTION - [N24001263,277.5,,302.02,252.1,8.84,1,0.0883603603603603
ROAD TRANSPORT AND HIGHWAYS,CONSTRUCTION OF TWO LANE WITH PAVED SHOULDER OF SELLING-DULTE SECTION OF NH-06 (PKG-I) - [N24001278,206.88,,219.33,256.29,6.02,1,0.060179814385150895
ROAD TRANSPORT AND HIGHWAYS,CONSTRUCTION OF TWO LANE WITH PAVED SHOULDER OF SELLING-DULTE SECTION OF NH-06 (PKG-III) - [N24001281,292.24,,331.17,275.8,13.32,1,0.13321242814125378
ROAD TRANSPORT AND HIGHWAYS,2 LANING OF KOHIMA - JESSAMI SECTION (PACKAGE III) - [N24001284,361.53,,365.42,189.26,1.08,1,0.010759826293806996
ROAD TRANSPORT AND HIGHWAYS,KAILASHAHAR TO KHOWAI PKG-4 - [N24001309,159.13,,171.5,79.43,7.77,1,0.07773518506881169
ROAD TRANSPORT AND HIGHWAYS,2-LANING FROM JOLAIBARI - BELONIA - [N24001317,201.99,,287.47,139.41,42.32,1,0.423189266795386
ROAD TRANSPORT AND HIGHWAYS,CONSTRUCTION OF 2-LANE ROAD WITH PAVED SHOULDER (GREENFIELD ALIGNMENT) OF EXISTING STRETCH BETWEEN L - [N24001322,183.31,,439.56,346.67,139.79,1,1.3979051879330096
ROAD TRANSPORT AND HIGHWAYS,CONSTRUCTION OF 2-LANE SPECIFICATION ROAD WITH PAVED SHOULDER AS REALIGNMENT (GREENFIELD ALIGNMENT) - [N24001325,262.84,,414.2,216.21,57.59,1,0.5758636432810836
ROAD TRANSPORT AND HIGHWAYS,CONSTRUCTION AND UPGRADATION OF EXISTING ROAD TO 2-LANE WITH PAVED SHOULDER FROM KM27.200 (END OF RO - [N24001336,230.45,,244.91,198.49,6.27,1,0.06274679973963987
ROAD TRANSPORT AND HIGHWAYS,TLABUNG - LUNGLEI PKG-A - [N24001358,698.44,,698.45,350.43,0.0,1,1.431762212930374e-05
ROAD TRANSPORT AND HIGHWAYS,PEREN-DIMAPUR PKG-3 - [N24001912,177.77,,199.02,7.98,11.95,1,0.11953647972098778
ROAD TRANSPORT AND HIGHWAYS,VARANASI-AURANGABAD KM.786 TO KM.978.40 - [N24000182,2848.0,,3241.56,3901.66,13.82,1,0.138188202247191
ROAD TRANSPORT AND HIGHWAYS,4-LANING OF GOA/KARNATAKA BORDER-KUNDAPUR SECTION - [N24000462,1655.01,,2639.0,1822.06,59.46,1,0.5945522987776509
ROAD TRANSPORT AND HIGHWAYS,4 LANING OF NH-31D FROM GHOSHPUKUR - SALSALABARI ( KM 0.00 TO KM . 83.785) - [N24000463,1083.0,,1414.01,,30.56,1,0.3056417359187442
ROAD TRANSPORT AND HIGHWAYS,FOUR LANING OF UDHAMBUR - RAMBAN SECTION OF NH-1A - [N24000488,2136.97,,2644.0,2362.99,23.73,1,0.2372658483740999
ROAD TRANSPORT AND HIGHWAYS,FOUR LANING OF BAKHTIYARPUR - MOKAMA SECTION OF NH-31 - [N24000507,1167.45,,1182.94,707.88,1.33,1,0.013268234185618235
ROAD TRANSPORT AND HIGHWAYS,2,4.0,,5.0,6.0,9.0,1,0.25
ROAD TRANSPORT AND HIGHWAYS,SIX-LANING OF BARWA ADDA-PANAGARH - [N24000515,1665.0,,4860.41,4878.1,191.92,1,1.919165165165165
ROAD TRANSPORT AND HIGHWAYS,4-LANNING OF VARANASI GORAKHPUR SECTION OF NH- 29 FROM 88.00 148.00 KM 4-LANNING OF VARANASI GORAKHPU - [N24000549,1396.74,,4300.0,3983.38,207.86,1,2.078597305153429
ROAD TRANSPORT AND HIGHWAYS,4-LANNING OF VARANASI GORAKHPUR SECTION OF NH- 29 FROM 148.00 208.300 KM [PACKAGE-IV] - [N24000551,1587.49,,3500.0,3157.0,120.47,1,1.2047382975640792
ROAD TRANSPORT AND HIGHWAYS,FOUR LANNING OF RAMPUR- KATHGODAM SECTION OF NH-87 FROM KM 0.000 (KM. 190.000 OF NH-24) TO KM 42.791 - [N24000556,899.0,,1623.88,1058.84,80.63,1,0.8063181312569523
ROAD TRANSPORT AND HIGHWAYS,FOUR LANNING OF RAMPUR- KATHGODAM SECTION OF NH-87 FROM KM 42.791 (DESIGN CHAINAGE 43.446) TO KM 88 - [N24000559,720.0,,1150.0,557.04,59.72,1,0.5972222222222222
ROAD TRANSPORT AND HIGHWAYS,4-LANNING OF HARIDWAR-NAGINA SECTION OF NH 74 FROM (KM 204.300 OF NH 58) TO KM 73.00 - [N24000564,1408.0,,1659.12,1157.85,17.84,1,0.17835227272727264
ROAD TRANSPORT AND HIGHWAYS,HOSPET-BELLARY-KARNATAKA AP BORDER - [N24000603,1167.42,,1224.01,742.18,4.85,1,0.04847441366431954
ROAD TRANSPORT AND HIGHWAYS,FOUR LANNING OF NERCHOWK-PANDOH BYPASS SECTION OF NH-21(PACKAGE-I KM 190.000 TO KM 221.305) UNDER NH - [N24000613,1273.71,,1478.61,1351.62,16.09,1,0.16086864356878713
ROAD TRANSPORT AND HIGHWAYS,TWO/FOUR LANNING OF BRT TIGER RESERVE BOUNDARY TO BANGALORE SECTION OF NH- 209(EXISTING CHAINAGE FROM - [N24000622,950.69,,1487.46,1607.58,56.46,1,0.5646109667715028
ROAD TRANSPORT AND HIGHWAYS,SIX LANNING FROM KM. 401.200 TO 494.410 OF NH-8 ON HYBRID ANNUITY MODE UNDER NHDP-V(PKG VI)REG. - [N24000649,1251.11,,1361.0,682.44,8.78,1,0.08783400340497646
ROAD TRANSPORT AND HIGHWAYS,4-LANNING OF BODHRE-DHULE SECTION(KM 390.000 TO 452.800) - [N24000656,744.64,,1007.0,362.98,35.23,1,0.3523313278899871
ROAD TRANSPORT AND HIGHWAYS,4-LANNING OF WARANGA-MAHAGAON SECTION(KM 253.7000 TO 320.580) - [N24000659,1059.73,,1071.0,878.19,1.06,1,0.010634784331858098
